YawRotation,PitchRotation,RollRotation,ElapsedTimeSeconds
-20.872868,12.502940,4.403510,0.092000
-20.945364,12.160489,4.155790,0.108000
-22.918768,10.037434,2.526387,0.259000
-23.032988,9.969685,2.640325,0.274000
-23.195494,9.883625,2.786581,0.285000
-23.320787,9.716217,2.904258,0.301000
-23.664776,9.395976,3.202059,0.320000
-23.992723,9.135159,3.354893,0.335000
-24.169621,9.142241,3.424563,0.354000
-24.513588,9.090755,3.468989,0.374000
-24.742506,9.014360,3.498461,0.397000
-24.824390,8.969813,3.513628,0.412000
-24.920027,8.891034,3.513645,0.430000
-24.931337,8.887947,3.527532,0.447000
-24.923220,8.860729,3.543431,0.466000
-24.910301,8.828894,3.581134,0.485000
-24.906773,8.805349,3.608720,0.505000
-24.916077,8.804837,3.629261,0.519000
-24.924950,8.835634,3.671297,0.541000
-24.974926,8.848674,3.722087,0.555000
-25.039818,8.862532,3.807996,0.574000
-25.099239,8.856303,3.847839,0.591000
-25.218344,8.841864,3.898544,0.609000
-25.218344,8.841864,3.898544,0.623000
-25.431168,8.882100,3.937500,0.640000
-25.495665,8.879942,3.959344,0.656000
-25.633127,8.858803,4.005334,0.673000
-25.650017,8.834180,4.031987,0.690000
-25.659210,8.830259,4.083401,0.707000
-25.609015,8.799715,4.110445,0.723000
-25.480944,8.756172,4.152944,0.741000
-25.280085,8.649157,4.186459,0.759000
-25.192200,8.599221,4.218132,0.776000
-24.857983,8.460343,4.252298,0.796000
-24.642323,8.394165,4.264020,0.809000
-24.201422,8.284630,4.285726,0.827000
-23.948524,8.228957,4.286373,0.843000
-23.441385,8.115863,4.257371,0.860000
-23.101345,8.056317,4.241197,0.876000
-22.404472,7.931536,4.169249,0.894000
-21.954380,7.842477,4.099360,0.909000
-21.075302,7.680028,3.941616,0.926000
-20.590010,7.569366,3.858363,0.943000
-19.565239,7.320139,3.685450,0.961000
-19.035299,7.185755,3.623042,0.976000
-17.872799,6.913825,3.450842,0.995000
-17.129881,6.726937,3.241370,1.013000
-15.797979,6.409552,2.886475,1.029000
-14.881067,6.179647,2.649593,1.044000
-13.471474,5.897820,2.271268,1.062000
-12.533759,5.671468,2.020740,1.077000
-11.130465,5.295548,1.671254,1.095000
-10.289600,5.056997,1.443502,1.110000
-8.996397,4.687388,1.064690,1.127000
-8.364463,4.506736,0.883197,1.143000
