Speed,ElapsedTimeSeconds
0.326640,0.095000
0.427040,0.125000
0.581938,0.283000
0.492664,0.300000
0.358688,0.311000
0.363070,0.322000
0.348384,0.334000
0.328434,0.344000
0.342152,0.356000
0.322958,0.369000
0.332543,0.382000
0.313014,0.394000
0.296155,0.405000
0.284662,0.416000
0.280839,0.427000
0.263731,0.438000
0.260595,0.449000
0.264244,0.460000
0.258000,0.471000
0.252640,0.482000
0.250738,0.494000
0.248694,0.505000
0.243071,0.517000
0.232407,0.527000
0.232908,0.538000
0.230887,0.550000
0.230482,0.561000
0.239487,0.573000
0.221871,0.584000
0.221334,0.595000
0.210970,0.606000
0.219793,0.617000
0.219467,0.631000
0.237816,0.641000
0.199497,0.652000
0.200727,0.663000
0.201800,0.673000
0.197129,0.683000
0.213802,0.695000
0.210669,0.707000
0.207654,0.717000
0.196323,0.728000
0.203905,0.740000
0.212594,0.751000
0.189699,0.762000
0.204707,0.773000
0.000000,0.784000
0.000000,0.796000
0.000000,0.807000
0.000000,0.817000
0.000000,0.828000
0.000000,0.839000
0.000000,0.850000
0.000000,0.860000
0.000000,0.871000
0.000000,0.881000
0.000000,0.892000
0.000000,0.903000
0.000000,0.913000
0.000000,0.924000
0.000000,0.934000
0.000000,0.947000
0.000000,0.959000
0.000000,0.970000
0.000000,0.982000
0.000000,0.995000
0.000000,1.008000
0.000000,1.020000
0.000000,1.032000
0.000000,1.045000
0.000000,1.058000
0.000000,1.071000
0.000000,1.082000
0.000000,1.093000
0.000000,1.104000
0.000000,1.116000
0.000000,1.126000
0.000000,1.136000
0.000000,1.147000
0.000000,1.158000
0.000000,1.168000
0.000000,1.178000
0.000000,1.190000
0.000000,1.201000
0.000000,1.210000
0.000000,1.221000
0.182709,1.232000
0.191641,1.243000
0.193840,1.254000
0.198807,1.264000
0.191678,1.275000
0.232092,1.286000
0.199395,1.296000
0.196738,1.308000
0.269769,1.320000
0.207087,1.332000
0.192977,1.342000
0.189661,1.352000
0.199663,1.364000
0.194824,1.374000
0.188058,1.384000
0.268597,1.396000
0.372540,1.407000
0.470795,1.418000
0.573285,1.428000
0.646451,1.440000
0.852985,1.451000
0.965753,1.463000
1.132819,1.473000
1.204960,1.484000
1.344219,1.495000
1.624866,1.506000
1.770369,1.516000
1.884448,1.528000
2.140661,1.539000
2.285025,1.550000
2.498958,1.561000
2.694647,1.572000
2.847541,1.583000
3.037559,1.594000
3.222447,1.605000
3.400992,1.616000
3.582508,1.627000
3.786221,1.638000
3.964024,1.649000
4.150010,1.660000
4.334579,1.671000
4.524567,1.682000
4.714952,1.692000
4.908559,1.705000
5.104121,1.716000
5.302065,1.727000
5.502525,1.738000
5.704024,1.749000
5.908412,1.761000
6.108155,1.771000
6.313976,1.781000
6.525093,1.791000
6.733601,1.803000
6.938613,1.814000
7.142941,1.825000
7.343702,1.836000
7.536673,1.846000
7.728164,1.857000
7.920641,1.868000
8.112403,1.879000
8.307626,1.891000
8.506892,1.902000
8.705888,1.912000
8.902160,1.924000
9.100762,1.935000
9.305827,1.946000
9.513478,1.956000
9.732308,1.969000
9.974078,1.981000
10.215484,1.992000
10.444436,2.003000
10.673469,2.014000
10.914473,2.025000
11.157445,2.036000
11.400434,2.048000
11.653468,2.059000
11.907943,2.070000
12.158264,2.080000
12.408957,2.091000
12.660387,2.102000
12.903024,2.112000
13.149521,2.124000
13.396658,2.135000
13.632360,2.145000
13.868012,2.155000
14.105762,2.166000
14.336726,2.176000
14.566820,2.187000
14.799238,2.198000
15.028000,2.209000
15.274199,2.221000
15.561922,2.232000
15.857699,2.242000
16.159113,2.253000
16.462667,2.264000
16.755764,2.275000
17.034233,2.286000
17.300533,2.297000
17.572149,2.306000
17.854477,2.319000
18.155960,2.330000
18.479891,2.343000
18.813519,2.356000
19.145172,2.368000
19.463818,2.380000
19.794785,2.393000
20.138052,2.406000
20.467720,2.419000
20.791521,2.432000
21.098721,2.443000
21.393291,2.454000
21.683138,2.465000
21.956381,2.475000
22.226929,2.486000
22.508570,2.497000
22.795868,2.508000
23.080057,2.520000
23.365431,2.531000
23.651234,2.541000
23.656212,2.552000
23.653950,2.563000
23.662737,2.573000
23.655365,2.584000
23.490051,2.595000
23.642670,2.605000
23.646378,2.616000
23.638033,2.626000
23.646160,2.637000
23.809164,2.648000
24.342543,2.659000
24.837646,2.670000
25.323267,2.681000
25.788347,2.692000
26.220119,2.703000
26.638012,2.713000
27.055471,2.725000
27.455215,2.736000
27.834074,2.747000
28.202877,2.758000
28.557947,2.768000
28.896301,2.780000
29.237537,2.791000
