YawRotation,Timestamp
-59.192665,2024.10.22-21.08.40
-59.171669,2024.10.22-21.08.41
-20.272764,2024.10.22-21.08.47
-20.390320,2024.10.22-21.08.47
-20.405621,2024.10.22-21.08.47
-20.413937,2024.10.22-21.08.47
-20.369549,2024.10.22-21.08.47
-20.198076,2024.10.22-21.08.47
-19.949209,2024.10.22-21.08.47
-19.727968,2024.10.22-21.08.47
-19.465088,2024.10.22-21.08.47
-19.375547,2024.10.22-21.08.47
-19.236111,2024.10.22-21.08.47
-19.179689,2024.10.22-21.08.47
-19.073196,2024.10.22-21.08.47
-19.094309,2024.10.22-21.08.47
-19.319311,2024.10.22-21.08.47
-19.463865,2024.10.22-21.08.47
-19.551603,2024.10.22-21.08.47
-19.805639,2024.10.22-21.08.47
-19.957296,2024.10.22-21.08.47
-20.349613,2024.10.22-21.08.47
-20.611246,2024.10.22-21.08.47
-20.868883,2024.10.22-21.08.47
-21.092703,2024.10.22-21.08.47
-21.161938,2024.10.22-21.08.47
-21.230558,2024.10.22-21.08.47
-21.218767,2024.10.22-21.08.47
-21.089649,2024.10.22-21.08.47
-20.764135,2024.10.22-21.08.47
-20.534609,2024.10.22-21.08.47
-19.971386,2024.10.22-21.08.47
-19.623203,2024.10.22-21.08.47
-18.962021,2024.10.22-21.08.47
-18.626602,2024.10.22-21.08.47
-17.960871,2024.10.22-21.08.47
-17.134504,2024.10.22-21.08.47
-16.485758,2024.10.22-21.08.47
-16.170698,2024.10.22-21.08.47
-15.772629,2024.10.22-21.08.47
-15.295585,2024.10.22-21.08.47
-14.735246,2024.10.22-21.08.47
-14.499645,2024.10.22-21.08.47
-14.126209,2024.10.22-21.08.47
-13.955782,2024.10.22-21.08.47
-13.454894,2024.10.22-21.08.48
-13.319028,2024.10.22-21.08.48
-13.052668,2024.10.22-21.08.48
-12.907622,2024.10.22-21.08.48
-12.725570,2024.10.22-21.08.48
-12.727448,2024.10.22-21.08.48
-12.819189,2024.10.22-21.08.48
-12.933945,2024.10.22-21.08.48
-13.016599,2024.10.22-21.08.48
-13.141696,2024.10.22-21.08.48
-13.355861,2024.10.22-21.08.48
-13.497754,2024.10.22-21.08.48
-13.719594,2024.10.22-21.08.48
-13.837284,2024.10.22-21.08.48
-14.061966,2024.10.22-21.08.48
-14.171058,2024.10.22-21.08.48
-14.368482,2024.10.22-21.08.48
-14.467766,2024.10.22-21.08.48
-14.564985,2024.10.22-21.08.48
-14.678868,2024.10.22-21.08.48
-14.684643,2024.10.22-21.08.48
-14.651669,2024.10.22-21.08.48
-14.606376,2024.10.22-21.08.48
-14.508617,2024.10.22-21.08.48
-14.225802,2024.10.22-21.08.48
-13.990827,2024.10.22-21.08.48
-13.413582,2024.10.22-21.08.48
-12.983157,2024.10.22-21.08.48
-12.446891,2024.10.22-21.08.48
-11.439072,2024.10.22-21.08.48
-10.772249,2024.10.22-21.08.48
-9.912471,2024.10.22-21.08.48
-8.204074,2024.10.22-21.08.48
-7.295380,2024.10.22-21.08.48
-6.194866,2024.10.22-21.08.48
-4.065722,2024.10.22-21.08.48
-2.939470,2024.10.22-21.08.48
-1.658034,2024.10.22-21.08.48
-0.088490,2024.10.22-21.08.48
2.140817,2024.10.22-21.08.48
3.609896,2024.10.22-21.08.48
6.441121,2024.10.22-21.08.48
7.833959,2024.10.22-21.08.48
9.582850,2024.10.22-21.08.48
9.582850,2024.10.22-21.08.48
13.728502,2024.10.22-21.08.48
17.081802,2024.10.22-21.08.48
20.462111,2024.10.22-21.08.48
24.138115,2024.10.22-21.08.48
27.771133,2024.10.22-21.08.48
31.600954,2024.10.22-21.08.48
35.815239,2024.10.22-21.08.48
40.056129,2024.10.22-21.08.48
44.370930,2024.10.22-21.08.48
48.375832,2024.10.22-21.08.48
52.563038,2024.10.22-21.08.48
56.719185,2024.10.22-21.08.48
60.593807,2024.10.22-21.08.48
64.378815,2024.10.22-21.08.48
67.945190,2024.10.22-21.08.49
71.289917,2024.10.22-21.08.49
74.069649,2024.10.22-21.08.49
76.447624,2024.10.22-21.08.49
78.540619,2024.10.22-21.08.49
80.312782,2024.10.22-21.08.49
81.585419,2024.10.22-21.08.49
82.446434,2024.10.22-21.08.49
83.051109,2024.10.22-21.08.49
83.255852,2024.10.22-21.08.49
83.003357,2024.10.22-21.08.49
82.620316,2024.10.22-21.08.49
82.137398,2024.10.22-21.08.49
81.669754,2024.10.22-21.08.49
81.044052,2024.10.22-21.08.49
80.322655,2024.10.22-21.08.49
79.570770,2024.10.22-21.08.49
78.700104,2024.10.22-21.08.49
77.298386,2024.10.22-21.08.49
75.563919,2024.10.22-21.08.49
73.395699,2024.10.22-21.08.49
70.686615,2024.10.22-21.08.49
67.457535,2024.10.22-21.08.49
63.863426,2024.10.22-21.08.49
60.067959,2024.10.22-21.08.49
55.742962,2024.10.22-21.08.49
51.681370,2024.10.22-21.08.49
47.046844,2024.10.22-21.08.49
42.494270,2024.10.22-21.08.49
38.026501,2024.10.22-21.08.49
33.427834,2024.10.22-21.08.49
28.377058,2024.10.22-21.08.49
22.843454,2024.10.22-21.08.49
17.360308,2024.10.22-21.08.49
12.548265,2024.10.22-21.08.49
7.073368,2024.10.22-21.08.49
1.819710,2024.10.22-21.08.49
-3.059418,2024.10.22-21.08.49
-7.674324,2024.10.22-21.08.49
-12.551604,2024.10.22-21.08.49
-17.397974,2024.10.22-21.08.49
-22.289618,2024.10.22-21.08.49
-26.944778,2024.10.22-21.08.49
-31.767168,2024.10.22-21.08.49
-36.910786,2024.10.22-21.08.49
-41.557709,2024.10.22-21.08.50
-46.641285,2024.10.22-21.08.50
-51.422428,2024.10.22-21.08.50
-55.947498,2024.10.22-21.08.50
-60.361931,2024.10.22-21.08.50
-64.893364,2024.10.22-21.08.50
-68.823647,2024.10.22-21.08.50
-72.735306,2024.10.22-21.08.50
-76.350571,2024.10.22-21.08.50
-79.356781,2024.10.22-21.08.50
-81.837166,2024.10.22-21.08.50
-84.355431,2024.10.22-21.08.50
-86.317139,2024.10.22-21.08.50
-87.306046,2024.10.22-21.08.50
-88.269455,2024.10.22-21.08.50
-89.035370,2024.10.22-21.08.50
-89.360077,2024.10.22-21.08.50
-89.374146,2024.10.22-21.08.50
-89.511253,2024.10.22-21.08.50
-89.894249,2024.10.22-21.08.50
-90.157120,2024.10.22-21.08.50
-90.528725,2024.10.22-21.08.50
-90.957581,2024.10.22-21.08.50
-91.399323,2024.10.22-21.08.50
-91.618790,2024.10.22-21.08.50
-91.609993,2024.10.22-21.08.50
-91.535172,2024.10.22-21.08.50
-91.250595,2024.10.22-21.08.50
-90.660988,2024.10.22-21.08.50
-89.811523,2024.10.22-21.08.50
-88.446953,2024.10.22-21.08.50
-86.801765,2024.10.22-21.08.50
-84.431931,2024.10.22-21.08.50
-81.834015,2024.10.22-21.08.50
-79.019066,2024.10.22-21.08.50
-76.024994,2024.10.22-21.08.50
-72.517265,2024.10.22-21.08.50
-69.253426,2024.10.22-21.08.50
-65.528770,2024.10.22-21.08.50
-61.103428,2024.10.22-21.08.50
-56.167915,2024.10.22-21.08.50
-52.429214,2024.10.22-21.08.50
-48.179756,2024.10.22-21.08.50
-43.732246,2024.10.22-21.08.50
-39.187366,2024.10.22-21.08.50
-34.704624,2024.10.22-21.08.51
-30.698727,2024.10.22-21.08.51
-28.125784,2024.10.22-21.08.51
-26.181482,2024.10.22-21.08.51
-23.949274,2024.10.22-21.08.51
-21.433535,2024.10.22-21.08.51
-19.328541,2024.10.22-21.08.51
-17.943295,2024.10.22-21.08.51
-17.059978,2024.10.22-21.08.51
-16.212437,2024.10.22-21.08.51
-15.422420,2024.10.22-21.08.51
-14.991393,2024.10.22-21.08.51
-14.859334,2024.10.22-21.08.51
-15.021523,2024.10.22-21.08.51
-15.135532,2024.10.22-21.08.51
-15.175273,2024.10.22-21.08.51
-15.268586,2024.10.22-21.08.51
-15.212120,2024.10.22-21.08.51
-15.169636,2024.10.22-21.08.51
-15.152338,2024.10.22-21.08.51
-15.293312,2024.10.22-21.08.51
-15.155453,2024.10.22-21.08.51
-15.259448,2024.10.22-21.08.51
-15.152286,2024.10.22-21.08.51
-15.055971,2024.10.22-21.08.51
-14.872066,2024.10.22-21.08.51
-14.057391,2024.10.22-21.08.51
-14.794394,2024.10.22-21.08.51
-15.390666,2024.10.22-21.08.51
-15.731730,2024.10.22-21.08.51
-15.858063,2024.10.22-21.08.51
-15.527267,2024.10.22-21.08.51
-15.174018,2024.10.22-21.08.51
-15.268569,2024.10.22-21.08.51
-15.766108,2024.10.22-21.08.51
-15.941256,2024.10.22-21.08.51
-16.100227,2024.10.22-21.08.51
-16.398338,2024.10.22-21.08.51
-16.973055,2024.10.22-21.08.51
-18.184511,2024.10.22-21.08.51
-19.609558,2024.10.22-21.08.51
-21.127882,2024.10.22-21.08.51
-22.645943,2024.10.22-21.08.51
-24.133717,2024.10.22-21.08.51
-25.930164,2024.10.22-21.08.51
-27.588926,2024.10.22-21.08.52
-29.163601,2024.10.22-21.08.52
-30.602001,2024.10.22-21.08.52
-31.758055,2024.10.22-21.08.52
-33.281597,2024.10.22-21.08.52
-34.710461,2024.10.22-21.08.52
-35.702930,2024.10.22-21.08.52
-36.877308,2024.10.22-21.08.52
-38.621983,2024.10.22-21.08.52
-40.067810,2024.10.22-21.08.52
-41.261238,2024.10.22-21.08.52
-42.398979,2024.10.22-21.08.52
-43.501228,2024.10.22-21.08.52
-44.322617,2024.10.22-21.08.52
-44.413982,2024.10.22-21.08.52
-44.587013,2024.10.22-21.08.52
-44.862274,2024.10.22-21.08.52
-44.443466,2024.10.22-21.08.52
-43.456963,2024.10.22-21.08.52
-41.910667,2024.10.22-21.08.52
-40.189999,2024.10.22-21.08.52
-38.522079,2024.10.22-21.08.52
-36.543121,2024.10.22-21.08.52
-34.291607,2024.10.22-21.08.52
-31.973286,2024.10.22-21.08.52
-29.466299,2024.10.22-21.08.52
-27.388109,2024.10.22-21.08.52
-25.446983,2024.10.22-21.08.52
-23.984980,2024.10.22-21.08.52
-22.516874,2024.10.22-21.08.52
-21.008059,2024.10.22-21.08.52
-19.630058,2024.10.22-21.08.52
-18.628983,2024.10.22-21.08.52
-17.486256,2024.10.22-21.08.52
-16.374367,2024.10.22-21.08.52
-15.697290,2024.10.22-21.08.52
-14.938213,2024.10.22-21.08.52
-14.133549,2024.10.22-21.08.52
-13.554599,2024.10.22-21.08.52
-13.108296,2024.10.22-21.08.52
-12.896336,2024.10.22-21.08.52
-12.618220,2024.10.22-21.08.52
-12.469403,2024.10.22-21.08.52
-12.276253,2024.10.22-21.08.52
-12.030695,2024.10.22-21.08.52
-11.537692,2024.10.22-21.08.53
