ElapsedTimeSeconds,ImpactPoint,ImpactNormal
14.263000,X=10748.930 Y=30039.270 Z=53.256,X=-0.974 Y=0.209 Z=-0.088
14.530000,X=10749.146 Y=30039.053 Z=55.330,X=-0.976 Y=0.198 Z=-0.088
14.772000,X=10748.643 Y=30039.428 Z=54.712,X=-0.995 Y=0.000 Z=0.104
14.780000,X=10748.829 Y=30039.441 Z=54.694,X=-0.995 Y=0.000 Z=0.104
14.789000,X=10748.866 Y=30039.445 Z=54.691,X=-0.995 Y=0.000 Z=0.104
14.796000,X=10748.873 Y=30039.443 Z=54.690,X=-0.995 Y=0.000 Z=0.104
14.805000,X=10748.875 Y=30039.441 Z=54.689,X=-0.995 Y=0.000 Z=0.104
14.814000,X=10748.875 Y=30039.443 Z=54.689,X=-0.995 Y=0.000 Z=0.104
14.821000,X=10748.875 Y=30039.443 Z=54.689,X=-0.995 Y=0.000 Z=0.104
14.830000,X=10748.875 Y=30039.443 Z=54.689,X=-0.995 Y=0.000 Z=0.104
14.838000,X=10748.876 Y=30039.449 Z=54.688,X=-0.995 Y=0.000 Z=0.104
14.846000,X=10748.875 Y=30039.451 Z=54.688,X=-0.995 Y=0.000 Z=0.104
14.854000,X=10748.875 Y=30039.451 Z=54.688,X=-0.995 Y=0.000 Z=0.104
14.863000,X=10748.875 Y=30039.449 Z=54.688,X=-0.995 Y=0.000 Z=0.104
14.871000,X=10748.876 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.880000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.888000,X=10748.875 Y=30039.457 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.896000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.905000,X=10748.875 Y=30039.457 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.913000,X=10748.875 Y=30039.457 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.922000,X=10748.875 Y=30039.453 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.930000,X=10748.875 Y=30039.453 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.938000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.946000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.955000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.963000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.972000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.980000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.988000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
14.997000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.005000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.013000,X=10748.875 Y=30039.453 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.022000,X=10748.875 Y=30039.457 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.030000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.038000,X=10748.875 Y=30039.453 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.046000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.055000,X=10748.876 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.063000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.072000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.080000,X=10748.875 Y=30039.455 Z=54.687,X=-0.995 Y=0.000 Z=0.104
15.088000,X=10748.875 Y=30039.455 Z=54.686,X=-0.995 Y=0.000 Z=0.104
15.096000,X=10748.875 Y=30039.455 Z=54.686,X=-0.995 Y=0.000 Z=0.104
15.105000,X=10748.875 Y=30039.455 Z=54.685,X=-0.995 Y=0.000 Z=0.104
15.113000,X=10748.875 Y=30039.453 Z=54.685,X=-0.995 Y=0.000 Z=0.104
15.121000,X=10748.875 Y=30039.457 Z=54.683,X=-0.995 Y=0.000 Z=0.104
