YawRotation,PitchRotation,RollRotation,ElapsedTimeSeconds
-29.692766,39.611782,0.636257,0.095000
-29.918289,39.155380,0.877129,0.368000
-31.819769,39.451439,0.142954,5.509000
-31.805019,39.532764,0.143751,5.560000
-31.808029,39.569824,0.138649,5.571000
-31.844250,39.629341,0.104084,5.604000
-31.879688,39.679337,0.069107,5.642000
-31.898529,39.705379,0.051743,5.669000
-31.906424,39.716549,0.044813,5.685000
-31.936556,39.736866,0.024431,5.703000
-31.949150,39.738094,0.009195,5.715000
-31.958641,39.741142,0.008496,5.730000
-31.965889,39.740654,0.022385,5.747000
-31.960421,39.739342,0.039670,5.760000
-31.963652,39.745365,0.060576,5.774000
-31.959652,39.735325,0.089076,5.794000
-31.962196,39.727158,0.104029,5.805000
-32.001408,39.719246,0.100297,5.826000
-32.006157,39.715088,0.099036,5.839000
-32.008583,39.719059,0.102508,5.850000
-31.986160,39.724655,0.127217,5.864000
-31.980297,39.721058,0.130183,5.881000
-31.976574,39.719875,0.123629,5.893000
-31.961130,39.737137,0.117880,5.914000
-31.936302,39.744392,0.116967,5.936000
-31.914593,39.726334,0.129061,5.945000
-31.900295,39.690975,0.144815,5.959000
-31.896252,39.637756,0.149869,5.970000
-31.882286,39.563820,0.179163,5.983000
-31.907127,39.377979,0.209538,6.003000
-31.914040,39.273205,0.233721,6.013000
-31.885698,39.126377,0.279205,6.027000
-31.778721,38.774513,0.423816,6.048000
-31.716740,38.593533,0.499566,6.058000
-31.625885,38.365955,0.592119,6.073000
-31.448723,37.841492,0.787174,6.092000
-31.366678,37.555298,0.853944,6.103000
-31.182022,36.902317,0.955225,6.124000
-31.089510,36.548325,0.965992,6.138000
-30.859900,35.586086,0.941947,6.153000
-30.712351,34.880875,0.859639,6.171000
-30.282055,32.929569,0.873141,6.188000
-29.964287,31.615379,1.020292,6.201000
-29.659952,30.394989,1.202202,6.215000
-29.659952,30.394989,1.202202,6.229000
-28.758123,27.743673,1.906951,6.245000
-27.713379,25.173761,3.149001,6.259000
-27.072563,23.602039,3.934481,6.273000
-26.088266,20.968529,5.145565,6.294000
-25.175390,18.278698,6.102817,6.317000
-24.811483,16.959742,6.330399,6.326000
-24.449896,15.497104,6.489643,6.341000
-23.880323,13.229618,6.345343,6.358000
-23.613283,11.946553,6.045237,6.371000
